department_code,course_number,title,units,term,GE_area,GWR,USCP,prerequisite,corequisite,crosslisted,notes
AERO,310,Air and Space,4,"F,W,SP,SU",7,FALSE,FALSE,((A1)>=4 && (A2)>=4 && (A3)>=4) && ((B1)>=4) && ((B4)>=4),None,None,Note: Junior standing
AG,315,Principles of Organic Crop Production,4,TBD,7,FALSE,FALSE,((A1)>=4 && (A2)>=4 && (A3)>=4) && ((B1)>=4) && ((B2)>=4) && ((B4)>=8),None,None,Note: Junior standing; Sustainability Focused
ANT,201,Cultural Anthropology,4,"F, W, SP",13,FALSE,FALSE,None,None,None,
ANT,250,Biological Anthropology,4,"F, W",5,FALSE,FALSE,None,None,None,
ANT,330,Indigenous South Americans,4,TBD,14,FALSE,FALSE,((A1)>=4 && (A2)>=4 && (A3)>=4) && ((B4)>=4) && ((units >= 8) && (GE_area_id == 12 || GE_area_id == 13)),None,None,Note: Junior standing
ARCE,260,History of Structures,4,"W, SU",8,FALSE,FALSE,None,None,None,
ARCE,360,Equilibrium Without Statics,4,"F, SP",7,FALSE,FALSE,((A1)>=4 && (A2)>=4 && (A3)>=4) && ((B4)>=4),None,None,Note: Junior standing.
ARCH,201,Architecture Design Studio for Non-Majors,4,"F, W, SP",8,FALSE,FALSE,None,None,None,
ART,101,Fundamentals of Drawing,4,"F, W, SP",8,FALSE,FALSE,None,None,None,
ART,182,Foundation in Digital Art I,4,F,0,FALSE,FALSE,None,None,None,
ART,183,Foundation in Digital Art II,4,"F, SP",0,FALSE,FALSE,None,None,None,
ART,376,The Art of Mixed Reality,4,W,0,FALSE,FALSE,CSC 123,None,None,
ART,384,Digital 3D Modeling and Design,4,W,0,FALSE,FALSE,None,None,None,
ART,388,Interaction Design II,4,F,0,FALSE,FALSE,ART 182,None,None,
ASCI,112,Principles of Animal Science,4,"F, W, SP",5,FALSE,FALSE,None,None,None,Note: Sustainability Related; Sustainability Related
BIO,111,General Biology,4,"F,W,SP,SU",5,FALSE,FALSE,None,None,BIO 161,
BIO,114,Plant Diversity and Ecology,4,"W, SP",5,FALSE,FALSE,None,None,None,
BIO,123,Biology of Sex,4,W,5,FALSE,FALSE,None,None,None,
BIO,150,Diversity and History of Life,4,"F, W",5,FALSE,FALSE,None,None,None,
BIO,161,Introduction to Cell and Molecular Biology,4,"F,W,SP,SU",5,FALSE,FALSE,CHEM 124,None,None,
BIO,213,Life Science for Engineers,2,"F, W, SP",5,FALSE,FALSE,None,CHEM 124.,None,
BIO,222,Biodiversity of California,4,"F, W, SP",5,FALSE,FALSE,(A1)>=4 && (A2)>=4 && (A3)>=4.,None,None,
BIO,227,Wildlife Conservation Biology,4,"F, W, SP",5,FALSE,FALSE,(A2)>=4.,None,None,Note: Sustainability Focused; Sustainability Focused
BIO,302,Human Genetics,4,"F, W, SP",7,FALSE,FALSE,((A1)>=4 && (A2)>=4 && (A3)>=4) && ((B4)>=4) && (ASCI 112 || BIO 111 || BIO 123 || BIO 161 || BIO 213 || BOT 121) && (STAT 312 || STAT 350),None,None,Note: Junior standing
BIO,305,Biology of Cancer,4,F,7,FALSE,FALSE,((A1)>=4 && (A2)>=4 && (A3)>=4) && (BIO>=4) && ((B4)>=8),None,None,Note: Junior standing
BIO,308,Genetic Engineering Technology,4,W,7,FALSE,FALSE,((A1)>=4 && (A2)>=4 && (A3)>=4) && ((B1)>=4 && (B2)>=4 && (B4)>=8) && (CHEM 124),None,CHEM 308,Note: Junior standing
BRAE,340,Irrigation Water Management,4,"F, W, SP",7,FALSE,FALSE,((A1)>=4 && (A2)>=4 && (A3)>=4) && ((B4)>=4),None,None,Note: Sustainability Focused; Sustainability Focused
BRAE,348,Energy for a Sustainable Society,4,"F, W, SP",7,FALSE,FALSE,((A1)>=4 && (A2)>=4 && (A3)>=4) && ((B4)>=4),None,None,Note: Junior standing; Sustainability Focused; Sustainability Focused
