course_catalog,,,,,,,,,,,
department_code,course_number,title,units,term,GE_area,GWR,USCP,prerequisite (prerequisites.id),corequisite (prerequisites.id),crosslisted (courses.id),notes
AERO,310,Air and Space,4,"F,W,SP,SU",7,FALSE,FALSE,"[4, 5]",0,0,Note: Junior standing
AG,315,Principles of Organic Crop Production,4,TBD,7,FALSE,FALSE,"[4, 6]",0,0,Note: Junior standing; Sustainability Focused
ANT,201,Cultural Anthropology,4,"F, W, SP",13,FALSE,FALSE,0,0,0,
ANT,250,Biological Anthropology,4,"F, W",5,FALSE,FALSE,0,0,0,
ANT,330,Indigenous South Americans,4,TBD,14,FALSE,FALSE,"[4, 11, 18]",0,0,Note: Junior standing
ARCE,260,History of Structures,4,"W, SU",8,FALSE,FALSE,0,0,0,
ARCE,360,Equilibrium Without Statics,4,"F, SP",7,FALSE,FALSE,"[4, 11]",0,0,Note: Junior standing.
ARCH,201,Architecture Design Studio for Non-Majors,4,"F, W, SP",8,FALSE,FALSE,0,0,0,
ART,101,Fundamentals of Drawing,4,"F, W, SP",8,FALSE,FALSE,0,0,0,
ART,182,Foundation in Digital Art I,4,F,0,FALSE,FALSE,0,0,0,
ART,183,Foundation in Digital Art II,4,"F, SP",0,FALSE,FALSE,0,0,0,
ART,376,The Art of Mixed Reality,4,W,0,FALSE,FALSE,[30],0,0,
ART,384,Digital 3D Modeling and Design,4,W,0,FALSE,FALSE,0,0,0,
ART,388,Interaction Design II,4,F,0,FALSE,FALSE,[21],0,0,
ASCI,112,Principles of Animal Science,4,"F, W, SP",5,FALSE,FALSE,0,0,0,Note: Sustainability Related; Sustainability Related
BIO,111,General Biology,4,"F,W,SP,SU",5,FALSE,FALSE,0,0,22,
BIO,114,Plant Diversity and Ecology,4,"W, SP",5,FALSE,FALSE,0,0,0,
BIO,123,Biology of Sex,4,W,5,FALSE,FALSE,0,0,0,
BIO,150,Diversity and History of Life,4,"F, W",5,FALSE,FALSE,0,0,0,
BIO,161,Introduction to Cell and Molecular Biology,4,"F,W,SP,SU",5,FALSE,FALSE,[26],0,0,
BIO,213,Life Science for Engineers,2,"F, W, SP",5,FALSE,FALSE,0,25,0,
BIO,222,Biodiversity of California,4,"F, W, SP",5,FALSE,FALSE,[4],0,0,
BIO,227,Wildlife Conservation Biology,4,"F, W, SP",5,FALSE,FALSE,[2],0,0,Note: Sustainability Focused; Sustainability Focused
BIO,302,Human Genetics,4,"F, W, SP",7,FALSE,FALSE,"[4, 11, 23, 95]",0,0,Note: Junior standing
BIO,305,Biology of Cancer,4,F,7,FALSE,FALSE,"[4, 24, 12]",0,0,Note: Junior standing
BIO,308,Genetic Engineering Technology,4,W,7,FALSE,FALSE,"[4, 6, 26]",0,40,Note: Junior standing
BRAE,340,Irrigation Water Management,4,"F, W, SP",7,FALSE,FALSE,"[4, 11]",0,0,Note: Sustainability Focused; Sustainability Focused
BRAE,348,Energy for a Sustainable Society,4,"F, W, SP",7,FALSE,FALSE,"[4, 11]",0,0,Note: Junior standing; Sustainability Focused; Sustainability Focused
BRAE,349,Water for a Sustainable Society,4,"F, W, SP",14,FALSE,FALSE,"[4, 11, 18]",0,0,Note: Junior standing; Course offered online only.
BOT,121,General Botany,4,"F, W, SP",5,FALSE,FALSE,0,0,0,
BOT,311,"Plants, People and Civilization",4,F,7,FALSE,FALSE,"[4, 11, 25]",0,0,Note: Sustainability Focused; Junior standing; Sustainability Focused
BUS,204,Financial Literacy,4,"F, W, SP",6,FALSE,FALSE,0,0,0,
BUS,311,Managing Technology in the International Legal Environment,4,"W, SP",14,FALSE,FALSE,"[4, 11, 19]",0,0,
CHEM,110,World of Chemistry,4,"F,W,SP,SU",4,FALSE,FALSE,0,0,37,
CHEM,124,General Chemistry for Physical Science and Engineering I,4,"F,W,SP,SU",4,FALSE,FALSE,0,0,36,
CHEM,125,General Chemistry for Physical Science and Engineering II,4,"F, W, SP",4,FALSE,FALSE,[26],0,0,
CHEM,126,General Chemistry for Physical Science and Engineering III,4,SP,0,FALSE,FALSE,[27],0,0,
CHEM,308,Genetic Engineering Technology,4,W,7,FALSE,FALSE,"[4, 6, 26]",0,28,Note: Junior standing
CHEM,349,Chemical and Biological Warfare,4,"F, SP",7,FALSE,FALSE,"[4, 8, 10, 12]",0,0,Note: Junior standing
CM,317,Sustainability and the Built Environment,4,"F,W,SP,SU",7,FALSE,FALSE,"[4, 11]",0,0,Note: Junior standing; Sustainability Focused; Sustainability Focused
CM,318,Housing and Communities,4,"F,W,SP,SU",14,FALSE,FALSE,"[4, 11, 17]",0,0,Note: Junior standing; Sustainability Related; Sustainability Related
COMS,101,Public Speaking,4,"F,W,SP,SU",1,FALSE,FALSE,0,0,0,
COMS,126,Argument and Advocacy,4,"W, SP",3,FALSE,FALSE,[1],0,0,
COMS,208,"Performance, Literature, and Culture",4,"F, W, SP",8,FALSE,FALSE,[1],0,0,
COMS,211,Interpersonal Communication,4,"F, W, SP",15,FALSE,FALSE,[1],0,0,
COMS,308,Group Performance of Literature,4,W,11,FALSE,FALSE,"[4, 11, 13]",0,0,Note: Junior standing
COMS,316,Intercultural Communication,4,"F,W,SP,SU",14,FALSE,TRUE,"[4, 11, 17]",0,0,Note: Junior standing
COMS,404,Video Games & Society,4,SP,0,FALSE,FALSE,[4],0,0,Note: Junior standing
CPE,100,Computer Engineering Orientation,1,F,0,FALSE,FALSE,0,0,0,
CPE,101,Fundamentals of Computer Science,4,"F, W, SP",0,FALSE,FALSE,0,0,0,
CPE,123,Introduction to Computing,4,"F, W",0,FALSE,FALSE,0,0,101,
CPE,133,Digital Design,4,"F, W, SP, SU",0,FALSE,FALSE,"[28, 29]",0,0,
