concentration_id,course_id
2,209
2,212
2,213
2,214
2,233
4,74
4,136
4,143
4,144
4,145
4,147
4,174
4,233
5,74
5,88
5,108
5,119
5,132
5,133
5,136
5,137
5,138
5,143
5,145
5,147
5,174
5,209
5,212
5,213
5,214
5,233
6,10
6,11
6,12
6,13
6,48
6,108
6,120
6,121
6,122
6,139
6,140
6,141
6,142
6,143
6,209
6,212
6,213
6,214
6,233
7,12
7,13
7,90
7,92
7,120
7,121
7,122
7,139
7,140
7,141
7,142
7,209
7,212
7,213
7,214
7,233
8,59
8,73
8,75
8,82
8,87
8,88
8,112
8,125
8,127
8,128
8,129
8,130
8,209
8,212
