course_id,term
1,F
1,W
1,SP
1,SU
2,TBD
3,F
3,W
3,SP
4,F
4,W
5,TBD
6,W
6,SU
7,F
7,SP
8,F
8,W
8,SP
9,F
9,W
9,SP
10,F
11,F
11,SP
12,W
13,W
14,F
15,F
15,W
15,SP
16,F
16,W
16,SP
16,SU
17,W
17,SP
18,W
19,F
19,W
20,F
20,W
20,SP
20,SU
21,F
21,W
21,SP
22,F
22,W
22,SP
23,F
23,W
23,SP
24,F
24,W
24,SP
25,F
26,W
27,F
27,W
27,SP
28,F
28,W
28,SP
29,F
29,W
29,SP
30,F
30,W
30,SP
31,F
32,F
32,W
32,SP
33,W
33,SP
34,F
34,W
34,SP
34,SU
35,F
35,W
35,SP
35,SU
36,F
36,W
36,SP
37,SP
38,W
39,F
39,SP
40,F
40,W
40,SP
40,SU
41,F
41,W
41,SP
41,SU
42,F
42,W
42,SP
42,SU
43,W
43,SP
44,F
44,W
44,SP
45,F
45,W
45,SP
46,W
47,F
47,W
47,SP
47,SU
48,SP
49,F
50,F
50,W
50,SP
51,F
51,W
52,F
52,W
52,SP
52,SU
53,F
53,W
53,SP
53,SU
54,F
54,W
54,SP
55,F
55,W
55,SP
56,F
56,W
56,SP
57,F
57,W
57,SP
58,TBD
59,F
59,W
59,SP
60,F
60,W
60,SP
61,F
61,W
62,F
62,W
63,F
63,SP
64,SP
65,F
66,F
66,W
66,SP
67,F
67,W
68,F
68,W
68,SP
68,SU
69,TBD
70,TBD
71,F
71,SP
72,TBD
73,SP
74,F
74,W
75,F
75,W
75,SP
76,TBD
77,F
78,F
79,TBD
80,W
81,F
81,W
81,SP
82,TBD
83,TBD
84,F
84,W
84,SP
84,SU
85,F
85,W
85,SP
85,SU
86,F
86,W
86,SP
87,TBD
88,SP
89,TBD
90,F
90,W
90,SP
91,F
92,TBD
93,TBD
94,F
94,W
94,SP
94,SU
95,F
95,W
95,SP
95,SU
96,F
96,W
96,SP
96,SU
97,SP
98,F
98,W
98,SP
99,F
99,W
100,F
100,W
100,SP
101,F
101,W
101,SP
102,F
102,W
102,SP
103,F
103,W
103,SP
104,TBD
105,F
105,W
105,SP
106,F
106,W
106,SP
107,F
107,W
107,SP
108,F
108,W
108,SP
109,F
109,W
109,SP
110,F
110,W
110,SP
111,F
111,W
111,SP
112,F
112,W
112,SP
113,F
113,W
113,SP
114,F
114,W
114,SP
115,F
115,W
115,SP
116,F
116,W
116,SP
117,F
117,W
117,SP
118,F
118,W
118,SP
119,F
119,W
119,SP
120,F
120,W
120,SP
121,F
121,W
121,SP
122,F
122,W
122,SP
123,F
124,W
125,SP
126,W
127,SP
128,F
128,W
128,SP
129,F
129,W
129,SP
130,F
130,W
130,SP
131,F
131,W
131,SP
132,F
132,W
132,SP
133,F
133,W
133,SP
134,F
134,W
134,SP
135,F
135,W
135,SP
136,F
136,W
136,SP
137,F
137,W
137,SP
138,F
138,W
138,SP
139,F
139,W
139,SP
140,F
140,W
140,SP
141,F
141,W
141,SP
142,F
142,W
142,SP
143,F
143,W
143,SP
144,F
144,W
144,SP
145,F
145,W
145,SP
146,F
146,W
146,SP
147,F
147,W
147,SP
148,F
148,W
148,SP
149,F
149,W
149,SP
150,F
150,W
150,SP
151,F
151,W
151,SP
152,F
152,W
152,SP
153,TBD
154,SP
155,TBD
156,F
156,W
156,SP
157,F
157,W
157,SP
158,F
158,W
158,SP
159,F
159,W
159,SP
160,F
160,W
160,SP
160,SU
161,F
161,W
161,SP
162,F
162,W
162,SP
163,F
163,W
164,F
164,W
164,SP
164,SU
165,F
165,W
166,F
166,W
166,SP
167,F
167,W
167,SP
168,F
168,W
168,SP
169,F
169,W
169,SP
170,F
170,W
171,TBD
172,F
172,W
173,W
174,F
174,W
175,F
176,TBD
177,F
178,F
179,W
180,F
181,F
181,W
181,SP
182,F
182,W
182,SP
183,F
183,W
183,SP
183,SU
184,F
185,TBD
186,F
186,W
186,SP
187,F
187,W
187,SP
188,SP
189,F
189,W
189,SP
190,F
190,W
190,SP
190,SU
191,F
191,W
191,SP
192,F
192,W
192,SP
193,F
193,W
193,SP
194,W
195,SP
196,F
196,W
196,SP
197,F
197,W
197,SP
198,SP
199,F
199,W
199,SP
200,F
200,W
200,SP
200,SU
201,W
202,F
202,W
202,SP
203,F
203,W
204,F
204,W
204,SP
205,F
205,W
205,SP
206,F
206,W
206,SP
206,SU
207,F
207,W
207,SP
207,SU
208,F
208,W
208,SP
208,SU
209,F
209,W
209,SP
209,SU
210,W
210,SP
211,F
211,W
211,SP
211,SU
212,F
212,W
212,SP
212,SU
213,F
213,W
214,F
215,F
215,W
215,SP
215,SU
216,F
216,W
217,F
217,W
217,SP
217,SU
218,F
218,W
218,SP
218,SU
219,F
219,W
219,SP
219,SU
220,F
220,W
220,SP
221,F
222,F
222,W
223,F
223,W
224,F
224,W
224,SP
225,F
225,W
225,SP
226,F
226,W
226,SP
227,F
227,W
227,SP
228,F
228,W
228,SP
229,F
229,W
229,SP
230,F
230,W
230,SP
231,F
231,W
231,SP
232,F
232,W
232,SP
232,SU
233,W
233,SP
234,F
234,W
234,SP
235,F
235,W
235,SP
235,SU
