prerequisite_id,prerequisite_course_id
1,42
2,181
2,182
2,184
3,43
3,185
4,34
4,35
4,36
4,194
4,217
4,218
4,219
5,4
5,15
5,16
5,17
5,18
5,19
5,20
5,21
5,22
5,23
5,30
5,157
6,32
6,156
6,206
6,207
6,208
7,32
7,156
7,206
7,207
7,208
7,1
8,34
8,35
8,36
9,16
9,17
9,18
9,19
9,20
9,21
9,22
9,23
10,1
10,2
10,4
10,7
10,15
10,16
10,17
10,18
10,19
10,20
10,21
10,22
10,23
10,24
10,25
10,26
10,27
10,28
10,30
10,31
10,32
10,34
10,35
10,36
10,38
10,39
10,40
10,156
10,157
10,189
10,191
10,194
10,195
10,201
10,206
10,207
10,208
10,213
10,217
10,218
10,219
10,221
10,224
10,232
10,234
11,6
11,8
11,9
11,44
11,154
11,202
12,215
13,6
13,8
13,9
13,44
13,46
13,154
13,155
13,188
13,202
13,203
13,215
13,216
13,229
13,230
13,231
14,183
14,196
15,3
15,158
15,159
15,192
15,197
16,3
16,158
16,159
16,183
16,192
16,196
16,197
17,3
17,158
17,159
17,183
17,192
17,196
17,197
18,45
18,153
18,162
18,190
18,199
18,222
18,225
19,10
20,12
21,16
21,17
21,18
21,19
21,20
21,21
21,22
21,23
21,24
21,25
21,26
22,15
22,16
22,18
22,20
22,21
22,30
23,17
23,19
23,30
24,35
25,36
26,49
27,50
27,98
28,51
28,99
29,52
30,54
30,100
31,55
31,101
32,56
32,57
32,102
32,167
33,57
33,167
34,59
35,60
36,61
36,110
37,62
37,170
38,62
38,66
38,116
38,170
39,60
39,63
39,171
40,66
40,116
41,86
41,117
42,65
43,80
44,81
44,135
45,90
45,139
46,59
46,60
46,66
46,116
47,103
48,103
48,212
49,54
49,55
49,100
49,101
49,103
49,212
50,104
50,216
51,105
52,106
52,107
53,106
53,108
54,114
55,118
56,123
57,124
58,136
58,143
59,143
60,149
61,151
62,131
63,158
63,159
64,163
65,65
67,168
68,107
69,206
70,207
71,208
72,209
73,210
73,211
74,211
75,212
76,217
77,218
78,219
79,220
80,222
81,226
82,227
83,228
84,229
85,230
86,232
87,232
87,234
88,234
89,30
